	file	left	right	target	token_id	type
29	de_morgen_20040324_01_107	celibaat en een bij voorkeur vroegtijdige dood , die de mens kon herenigen met zijn	oorsprong . De leer van het gnosticisme vond zijn neerslag in een reeks evangeliën over	goddelijke	goddelijk/adj/de_morgen_20040324_01_107/842	goddelijk/adj
30	de_standaard_20001002_01_102	"primatologe Jane Goodall . Redmond : 	 Chimpansees hebben 98,4 procent met ons genetisch materiaal"	, gorilla's 97,7 procent en orang-oetangs 96,4 procent . Bovendien zijn primaten verbazend intelligent ,	gemeen	gemeen/adj/de_standaard_20001002_01_102/231	gemeen/adj
31	volkskrant_20000128_114	, aanknopend bij Philo's interpretatie , Kaïn en Abel tot de vertegenwoordigers van respectievelijk de	en de aardse stad . Bij Augustinus is Kaïn al niet meer uitsluitend de moordenaar	hemelse	hemels/adj/volkskrant_20000128_114/937	hemels/adj
32	het_nieuwsblad_20010908_01_803	3,6 liter motor ; het gamma wordt ook uitgebreid met een Targa-versie met breed ,	openschuivend glazen dak . De maximale opening is 0,45 m² , bijna het dubbele vergeleken	geluidloos	geluidloos/adj/het_nieuwsblad_20010908_01_803/31	geluidloos/adj
33	nrc_handelsblad_20000427_36	beter vermijden ? Het lijdt weinig twijfel dat , als men de idee van een	gratie aanvaardt , de koning van Engeland met recht op deze religieuze gratie een beroep	goddelijke	goddelijk/adj/nrc_handelsblad_20000427_36/265	goddelijk/adj
34	nrc_handelsblad_20000427_36	gratie een beroep kan doen . Engeland heeft een staatskerk en de koning verkrijgt de	gratie door een zalvingsritueel dat dateert uit de tijd van Richard I. De zalving van	goddelijke	goddelijk/adj/nrc_handelsblad_20000427_36/293	goddelijk/adj
35	nrc_handelsblad_20000427_36	de Nederlandse grondwet , dan blijkt deze procedure niet te voorzien in het verwerven van	gratie door de nieuwe koning . De procedure omvat slechts een beëdiging en inhuldiging van	goddelijke	goddelijk/adj/nrc_handelsblad_20000427_36/538	goddelijk/adj
36	nrc_handelsblad_20000427_36	1796 geen staatskerk meer kent . De conclusie moet dus luiden dat Nederlandse koningen de	gratie niet bij hun inhuldiging verwerven door een gratie-transmissieritueel . Is het dan mogelijk dat	goddelijke	goddelijk/adj/nrc_handelsblad_20000427_36/617	goddelijk/adj
37	nrc_handelsblad_20000427_36	bij hun inhuldiging verwerven door een gratie-transmissieritueel . Is het dan mogelijk dat ze de	gratie verwerven door een automatische overerving ? Maar aan de eerste van deze twee noodzakelijke	goddelijke	goddelijk/adj/nrc_handelsblad_20000427_36/635	goddelijk/adj
38	nrc_handelsblad_20000427_36	Over het ontvangen van een gratie Gods werd met geen woord gerept . Wat de	gratie als rechtvaardiging van het koningschap betreft , staan we dus voor een dilemma .	goddelijke	goddelijk/adj/nrc_handelsblad_20000427_36/730	goddelijk/adj
39	parool_20000829_48	Toch is zo'n eerste deel van Polyphonie X niet niks . Mooie samenklanken , spannende	complexen , inventief gebruik van timbre tegenstellingen , enzovoorts . Maar in deel twee beginnen	harmonische	harmonisch/adj/parool_20000829_48/1013	harmonisch/adj
40	parool_20000606_18	klank . Wat die akkoorden betreft : regelmatig zwiert hij in en uit de traditionele	structuur ; hij improviseert dan even outside zoals een moderne saxofonist dat zou doen .	harmonische	harmonisch/adj/parool_20000606_18/104	harmonisch/adj
41	de_morgen_20001013_01_36	"stoefkont . Hannan : 	 Anderen hebben dat niet , dus het is echt wel"	"om over schoenen of zo op te scheppen . Ook Jean-François is verontwaardigd . 	"	gemeen	gemeen/adj/de_morgen_20001013_01_36/719	gemeen/adj
42	het_laatste_nieuws_20040827_01_240	Parente kregen de ING-trophy andapos; omdat ze zich de meester toonden van de synchronisatie en	opbouw andapos; . Ze toonden eveneens enkele nieuwe zaken inzake vuurwerkkunst . China werd tweede	harmonische	harmonisch/adj/het_laatste_nieuws_20040827_01_240/146	harmonisch/adj
43	nrc_handelsblad_20001027_140	Bogarde raakt in door moreel verval en de pest geteisterd Venetië in de ban van	knaap , de belichaming van ultieme schoonheid . Ook met Mahler . Ned.1 , 23.49-1.58u.	goddelijke	goddelijk/adj/nrc_handelsblad_20001027_140/625	goddelijk/adj
44	de_standaard_20030707_01_92	Tina Gillen , een Luxemburgse kunstenares die al zes jaar in België werkt . Minder	gaat het eraan toe in de zaal met werk van Vincent Geyskens . Naast de	harmonisch	harmonisch/adj/de_standaard_20030707_01_92/954	harmonisch/adj
45	de_morgen_20040106_01_6	"liet hij bijvoorbeeld Gerstein de nuntius toebijten : 	 U ziet toch dat het Vaticaan"	"zaak maakt met Hitler . 	 Dat hoor je niet in de film . Ook"	gemene	gemeen/adj/de_morgen_20040106_01_6/749	gemeen/adj
46	de_standaard_20040306_01_54	"leverden hem de bijnaam ` Bambi ' op . 	 Zijn beleid is de grootst"	"deler van de vele strekkingen en regionale afdelingen in de partij 	 , zegt Bobillo"	gemene	gemeen/adj/de_standaard_20040306_01_54/1555	gemeen/adj
47	het_laatste_nieuws_20020426_01_639	Want hij is in alles de beste . andquot; De beste , maar ook de	? Probeerde hij Montoya in Brazilië niet van de sokken te rijden ? andquot; Ach	gemeenste	gemeen/adj/het_laatste_nieuws_20020426_01_639/869	gemeen/adj
48	nrc_handelsblad_20020128_115	van buiten de provincie , weer een beladen wedstrijd . Van der Schaaf beging de	overtreding die slechts met een gele kaart werd bestraft . Hij werd vlak na rust	gemeenste	gemeen/adj/nrc_handelsblad_20020128_115/89	gemeen/adj
49	de_morgen_20040413_01_7	is 100.000 euro waard Huwelijk is 100.000 euro waard , goede seks 45.000 euro Een	huwelijk kan iemand een even groot gevoel van tevredenheid geven als een extra inkomen van	harmonisch	harmonisch/adj/de_morgen_20040413_01_7/19	harmonisch/adj
50	volkskrant_20000824_86	keer heeft gezien , schrijft hij : ' Het goede is lichtvoetig , al het	loopt op tere voetjes . ' De uitstraling van Isadora Duncan ( 1877-1927 ) is	goddelijke	goddelijk/adj/volkskrant_20000824_86/837	goddelijk/adj
51	de_morgen_20001223_01_155	"zou zitten prullen . Langer dan dit zal ik het niet laten groeien . 	"	"opmerkingen van collega's zijn haar vreemd . 	 Enfin , niemand zegt toch iets in"	Gemene	gemeen/adj/de_morgen_20001223_01_155/915	gemeen/adj
52	parool_20020607_47	barre tocht per vrachtauto van Timboektoe naar Bamako waar ik halverwege ten prooi viel aan	buikloop en vervolgens sinterklaasavond eenzaam doorbracht op een groezelig bed in een vieze Afrikaanse hotelkamer	gemene	gemeen/adj/parool_20020607_47/146	gemeen/adj
53	het_laatste_nieuws_20000706_01_19	In de regio is er anders geen oplossing voorhanden en alle gemeentebesturen zijn ons positief	. Het is bovendien een uniek project andquot; , besluit Denis Gheys . Uitbaatster Annie	genegen	genegen/adj/het_laatste_nieuws_20000706_01_19/507	genegen/adj
54	de_morgen_20001110_01_118	tegen de tijd dat Reagan hen - terecht - kwam vertellen dat ze veel meer	hadden met de godvrezende , patriottische Republikeinse Partij dan met die liberale , Big Brother-voorstanders	gemeen	gemeen/adj/de_morgen_20001110_01_118/673	gemeen/adj
55	nrc_handelsblad_20010109_117	film ( een losse adaptatie van Homerus ' Odysseus ) worden muzikaal vertolkt door de	combinatie Alison Krauss , Emmylou Harris en Gilian Welch . Maar die hoeven hier helaas	goddelijke	goddelijk/adj/nrc_handelsblad_20010109_117/286	goddelijk/adj
56	de_standaard_20030412_01_20	smaakafwijking oplopen , bijvoorbeeld door contact met vervuilde oppervlakten of verontreinigde materialen . Vinificatiekuipen kunnen	schimmelgeuren afgeven , wat voor oude , weinig aantrekkelijke geuren zorgt . De Médoc heeft	gemene	gemeen/adj/de_standaard_20030412_01_20/168	gemeen/adj
57	algemeen_dagblad_20040326_39	niets , getuige ook de laatste zin van de roman : ' De mens is	. ' De held is tegelijkertijd antiheld , liefde , vriendschap en haat , vuil	goddelijk	goddelijk/adj/algemeen_dagblad_20040326_39/127	goddelijk/adj
58	nrc_handelsblad_19991113_31	van gevangene tot president . BBC2 , 21.00-21.50u. OverLeven . Landmijnen zijn zonder twijfel het	wapen dat de mens ooit heeft bedacht . Een Belgisch-Nederlands onderzoeksprogramma heeft een efficiënte manier	gemeenste	gemeen/adj/nrc_handelsblad_19991113_31/421	gemeen/adj
59	de_morgen_20020530_01_113	prijs zijn van een ritje in de rollercoaster - u minstens een half uur naar	regionen katapulteert . Een compliment voor de acteurs van Het Toneelhuis , onder wie Robrecht	hemelse	hemels/adj/de_morgen_20020530_01_113/674	hemels/adj
60	volkskrant_19990505_58	, dus mag alles . Bijna elke act eindigt met de onthulling van weer een	lichaam . ' Dat is een tijdlang leuk om te zien , maar op zijn	goddelijk	goddelijk/adj/volkskrant_19990505_58/366	goddelijk/adj
61	algemeen_dagblad_20031113_100	- Nederland is het 46ste duel van het jaar . Maar het gazon ligt er	bij . Niemand , behalve hij , mag het betreden . Met 25 millimeter hebben	goddelijk	goddelijk/adj/algemeen_dagblad_20031113_100/119	goddelijk/adj
62	volkskrant_20011114_85	de columnist , gewend om soeverein te heersen over zijn gedachten , was niet erg	de aanwijzingen op te volgen . Toen een vrouwelijke passagier een gesprek begon over de	genegen	genegen/adj/volkskrant_20011114_85/131	genegen/adj
63	volkskrant_20041001_99	van het schip werd zijn naam - bepalen , in dialogen die meer duivels dan	zijn . In verhouding tot het hoofdverhaal zijn die over het hele boek verspreide gesprekken	goddelijk	goddelijk/adj/volkskrant_20041001_99/152	goddelijk/adj
64	volkskrant_20011116_7	dat ik de verkeerde krant in mijn handen had . De neerbuigende toon en de	verdachtmakerij zonder enige gefundeerde wetenschappelijke weerlegging behoren niet thuis in de Volkskrant . Ondanks het	gemene	gemeen/adj/volkskrant_20011116_7/20	gemeen/adj
65	de_standaard_20030125_01_99	"funkbad krijgt . Maar dan komt 	 	 Everlasting now 	 , tjokvol solo's ,"	gitaarspel en een discosfeer waarbij de hemel omlaag komt . Waarna Prince achter zijn piano	hemels	hemels/adj/de_standaard_20030125_01_99/232	hemels/adj
66	de_standaard_20040911_01_167	geweest . Volgens de Russen gaat het om Magomed Jevlojev , een Ingoesjetische moslim die	zaak zou maken met de Tsjetsjeense terrorist Sjamil Basajev . Intussen wordt op de codenaam	gemene	gemeen/adj/de_standaard_20040911_01_167/1087	gemeen/adj
67	de_morgen_20000714_01_107	een vereenvoudigde wijze te herscheppen in een strenge , tweedimensionale compositie . Het is de	spanning in die picturale constellatie van objecten waar het hem om te doen was .	harmonische	harmonisch/adj/de_morgen_20000714_01_107/379	harmonisch/adj
68	volkskrant_20000115_176	. Aan klasgenootjes werd gevraagd drie jongens te noemen die het vaakst vochten en zich	gedroegen tegenover anderen . Daaruit bleek dat de twaalf kinderen met het laagste cortisolniveau drie	gemeen	gemeen/adj/volkskrant_20000115_176/204	gemeen/adj
69	nrc_handelsblad_20010302_163	"over zichzelf , over trivialiteiten . Ik vind het bekrompen . 	 En met een"	"lachje : 	 De jongeren zeggen nu tegen mijn generatie : uit de weg jullie"	gemeen	gemeen/adj/nrc_handelsblad_20010302_163/1439	gemeen/adj
70	algemeen_dagblad_20010809_4	remmen , wat veel lawaai veroorzaakt . En met het opstijgen dan ? Gaat dat	? Verder wordt over de luchtverontreiniging nooit gesproken . Hebt u wel eens gezien wat	geluidloos	geluidloos/adj/algemeen_dagblad_20010809_4/74	geluidloos/adj
71	de_morgen_20010419_01_88	, maar daalt ze wanneer er neerslag valt . In de buurt van buien kunnen	windstoten optreden . Kortom we staan opnieuw aan het begin van een gure aprildag .	gemene	gemeen/adj/de_morgen_20010419_01_88/124	gemeen/adj
72	nrc_handelsblad_20001222_61	. In die dagen had je nog geen digitale computers . Nu kun je alle	"aerodynamische rotzooi gewoon wegrekenen . 	 Bovendien is Airbus een vliegtuigbouwer die volgens Den Hertog"	gemene	gemeen/adj/nrc_handelsblad_20001222_61/261	gemeen/adj
73	de_standaard_20040228_01_129	de koude en de hevige wind . De overlevingstips van Dansercour zijn voor hen een	geschenk , maar niettemin is het een loodzware opgave . Ze hebben nog 130 kilometer	hemels	hemels/adj/de_standaard_20040228_01_129/319	hemels/adj
74	volkskrant_20010910_92	de Sparta-aanhang na afloop rustig . Na de rode kaart werd het duel grimmig en	, met treiteraar Boukhari van de thuisploeg voorop in de strijd . Oskam had nog	gemeen	gemeen/adj/volkskrant_20010910_92/218	gemeen/adj
75	de_morgen_20030207_01_32	voor God in Europese grondwet ' Het ware Europa staat of valt niet met een	referentie ' Een poging uit religieuze middens om God een vermelding te geven in een	goddelijke	goddelijk/adj/de_morgen_20030207_01_32/18	goddelijk/adj
76	de_morgen_20030207_01_32	"	 , zegt ze . 	 Het ware Europa staat of valt niet met een"	"referentie . 	 ( JCS"	goddelijke	goddelijk/adj/de_morgen_20030207_01_32/482	goddelijk/adj
77	nrc_handelsblad_20000606_51	voor je hem thuis krijgt bezorgd . De toekomst is daarom aan de Dot.coms die	zaak maken met logistiek-ondernemers als Die Deutsche Post en transportondernemingen als TNT . www.woche.de The	gemene	gemeen/adj/nrc_handelsblad_20000606_51/258	gemeen/adj
78	volkskrant_20021015_53	van Economische Zaken Herman Heinsbroek er de brui aan geeft , zijn CDA en VVD	de kwestie als een ' ministerscrisis ' te zien . Heinsbroek kan het boek 85	genegen	genegen/adj/volkskrant_20021015_53/123	genegen/adj
79	algemeen_dagblad_20020907_140	", een paars fluwelen pak van Paul Smith . 	 Waauw , Paul Smith is"	". 	 En die draag ik niet alleen met de kerst of op een bruiloft"	goddelijk	goddelijk/adj/algemeen_dagblad_20020907_140/560	goddelijk/adj
80	algemeen_dagblad_20000325_12	, zweven we tussen de bomen door naar beneden . Op een vorstelijk tapijt van	wit . Soms laat ik de voorkant van het snowboard een beetje uit de sneeuw	goddelijk	goddelijk/adj/algemeen_dagblad_20000325_12/537	goddelijk/adj
81	parool_20020921_115	ondoordringbare duisternis , met water en bomen zover het oog reikt , binnen ligt een	welkomstwoord . Even wanen we ons alleen met de elementen , totdat de hooggeblondeerde buurvrouw	goddelijk	goddelijk/adj/parool_20020921_115/185	goddelijk/adj
82	algemeen_dagblad_20010217_123	de lachende dood bij de uitgang : ` Ik ben de dood , slecht en	, niemand kan er om mij heen .	gemeen	gemeen/adj/algemeen_dagblad_20010217_123/469	gemeen/adj
83	de_standaard_20000427_01_80	het in een ander gedicht van hem heet en , tenslotte , die combinatie van	klanken en horror . Alleen blijf ik zitten met één grote vraag : wie worden	hemelse	hemels/adj/de_standaard_20000427_01_80/598	hemels/adj
84	de_morgen_20040417_01_83	verkavelingsvergunning aangevraagd . Niets is nog definitief maar de gemeente Etterbeek lijkt het project alvast	, zo schrijft de Brusselse stadskrant Brussel deze week . Het Arsenaal is samen met	genegen	genegen/adj/de_morgen_20040417_01_83/68	genegen/adj
85	nrc_handelsblad_19991127_39	die verdienen een standje . Maar je moet ze niet slaan ! Als ze echt	worden , hebben wij natuurlijk ook een troef achter de hand : de jongeren en	gemeen	gemeen/adj/nrc_handelsblad_19991127_39/2216	gemeen/adj
86	de_standaard_20010313_01_16	dat hart es te minnene ende te huedene . 4 vten hoegsten : uit het	werken : innerlijk hun uitwerking doen gevoelen 5 ten ouersten : naar het goddelijke 8	goddelijke	goddelijk/adj/de_standaard_20010313_01_16/194	goddelijk/adj
87	de_standaard_20010313_01_16	het goddelijke werken : innerlijk hun uitwerking doen gevoelen 5 ten ouersten : naar het	8 regneren : heersen wedersake : tegenstander 9 wale : terdege 10 met behendicheiden :	goddelijke	goddelijk/adj/de_standaard_20010313_01_16/208	goddelijk/adj
88	nrc_handelsblad_19990719_12	Nuntius mgr. Angelo Acerbi , de vertegenwoordiger van het Vaticaan in Nederland . Of Eijk	was om bisschop van Groningen te worden . Eijk , docent moraaltheologie aan het seminarie	genegen	genegen/adj/nrc_handelsblad_19990719_12/26	genegen/adj
89	algemeen_dagblad_20010206_61	, de koran en de heilige teksten van de joden en boeddhisten alle producten van	inspiratie . Volgens medewerkers van het paleis waren de meeste reacties positief . Slechts enkele	goddelijke	goddelijk/adj/algemeen_dagblad_20010206_61/168	goddelijk/adj
90	de_standaard_20020211_01_101	". Hét ultieme hoogtepunt van de show heette 	 As you are 	 , een"	gezongen ballad die werd opengereten door een krijsende gitaarsolo . De zaal liet zich gewillig	hemels	hemels/adj/de_standaard_20020211_01_101/440	hemels/adj
91	volkskrant_19990326_136	kinderkoor van de Scala . In het publiek werd gehuild . Vanaf het podium werd	teruggehuild door zangers en musici . Gabriela Chailly had hoofdpijn , en zat gisteren tegen	geluidloos	geluidloos/adj/volkskrant_19990326_136/939	geluidloos/adj
92	volkskrant_20010713_86	zoals mijn Playing met Misha . Hier ging het anders . De kleinste hint op	gebied werd meteen door iedereen opgepikt , en perfect uitgewerkt . We klonken als een	harmonisch	harmonisch/adj/volkskrant_20010713_86/568	harmonisch/adj
93	algemeen_dagblad_20040426_46	heroïne nemen en dan , in een plaatsje op de hei , wachten tot de	inspiratie op mij neer druipt . Nee , een paar rustige dagen en de telefoon	goddelijke	goddelijk/adj/algemeen_dagblad_20040426_46/66	goddelijk/adj
94	algemeen_dagblad_20000715_51	thuis hoor . Ik heb nooit iets te maken willen hebben met die smerige ,	oorlog . Maar als mijn vrienden de moslims niet terugkeren , heeft het leven ook	gemene	gemeen/adj/algemeen_dagblad_20000715_51/1677	gemeen/adj
95	nrc_handelsblad_20001121_54	Ernesto , wel een ménage à trois van drie personages die met elkaar niets meer	hebben dan hun overvloedige kapitaal en zich elk afzonderlijk laten verwennen door stoeten van personeel	gemeen	gemeen/adj/nrc_handelsblad_20001121_54/323	gemeen/adj
96	volkskrant_20041115_86	het publiek opklinken . Tussen gemoduleerde geluiden door klinken enigszins verzakte muziekjes op basis van	schema's uit de barok	harmonische	harmonisch/adj/volkskrant_20041115_86/333	harmonisch/adj
97	nrc_handelsblad_20010508_137	". Op zijn website linkt hij naar diverse religieuze organisaties en vertelt hij hoe 	"	"inspiratie 	 hem op het idee voor G-Force bracht . Ongetwijfeld zullen slechts weinig gebruikers"	goddelijke	goddelijk/adj/nrc_handelsblad_20010508_137/338	goddelijk/adj
98	parool_19990621_13	De bewerkingen versterkten ook onbedoeld de zwakke plekken : eindeloos herhaald mager melodisch en naiëf	materiaal , stoplappen als dalende tertsenreeksen boven een eindeloos orgelpunt . Maar in de beste	harmonisch	harmonisch/adj/parool_19990621_13/322	harmonisch/adj
99	de_morgen_20020309_01_71	rijk aan nuances . Een cliché is een abstrahering van de werkelijkheid , de grootste	deler van ontelbare gelijksoortige gebeurtenissen . Aan de werkelijkheid ontleend - zoals een foto -	gemene	gemeen/adj/de_morgen_20020309_01_71/254	gemeen/adj
100	de_morgen_20020309_01_71	- verwijst een cliché naar die werkelijkheid , het is een virtuele realiteit . Het	( niet langer het gemeenschappelijke , maar het akelige , het slechte ) van de	gemene	gemeen/adj/de_morgen_20020309_01_71/284	gemeen/adj
101	de_morgen_20020309_01_71	zijn voor hem wezenlijk . Zijn foto's zijn het tegendeel van het cliché : niet	en oppervlakkig , maar altijd bijzonder en gelaagd , nooit bevestigend en geruststellend , maar	gemeen	gemeen/adj/de_morgen_20020309_01_71/751	gemeen/adj
102	volkskrant_19990730_70	. De ' troonsbestijging ' van Christus had al eerder plaatsgevonden . Een werkelijk schitterende	hof-hiërarchie wordt zichtbaar . De verzichtbaring van het gehoorde - dat is geschiedenis van de	hemelse	hemels/adj/volkskrant_19990730_70/536	hemels/adj
103	de_morgen_20030408_01_83	Laïs schuift instrumenten opzij en hijst man aan boord	stemmenpracht van het trio valt hier in haar puurste en meest dynamische vorm te bewonderen	Harmonische	harmonisch/adj/de_morgen_20030408_01_83/10	harmonisch/adj
104	de_morgen_20030408_01_83	luid vonden , zullen aan A la capella hun hart kunnen ophalen , want de	stemmenpracht van Jorunn Bauweraerts , Annelies Brosens en Nathalie Delcroix valt hier in haar puurste	harmonische	harmonisch/adj/de_morgen_20030408_01_83/160	harmonisch/adj
105	volkskrant_20040416_135	Verheul met eigen ogen ' die vonk of zo u wilt die aanwezigheid van iets	( hoorde en zag ) , waarmee sinds de oudheid de kern van het begrip	goddelijks	goddelijk/adj/volkskrant_20040416_135/522	goddelijk/adj
106	algemeen_dagblad_20020215_107	"geloven , ben ik een soort supermens 	 , zei hij . 	 Mij worden"	"eigenschappen toegedicht . 	 Milosevic had drieënhalf uur gesproken toen de zitting werd verdaagd ."	goddelijke	goddelijk/adj/algemeen_dagblad_20020215_107/359	goddelijk/adj
