measure	globqual	meanclassqual	classqual_gemeen_3	classqual_gemeen_1	classqual_gemeen_4	model	classqual_gemeen_5	technique
SCP	0.7928881639478348	0.5642677788534224	0.04184232637945798	0.8018619622018635	0.8490990479789459	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
kNN	0.813821472645002	0.6444501581471278	0.2528925619834711	0.8298181818181818	0.8506397306397306	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
DR	1.5528959892915188	1.4750402532248765	1.4584182379676698	1.2226237902443042	1.7440787314626554	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
SIL	0.002810553335343132	0.025704590835133115	0.06382305665814986	0.03125279959179161	-0.017962083744542123	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
SCP	0.7485982112634193	0.534881819426629	0.03817788733032271	0.774214569160152	0.7922530017894126	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
kNN	0.7943233237350884	0.6169566370778492	0.2115702479338843	0.8014545454545454	0.8378451178451178	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
DR	1.771215463688822	1.7724030240305468	1.8508133927291484	1.614729109312124	1.8516665700503683	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
SIL	0.08822528897723503	0.14945173374329979	0.3208709617010974	0.0207027341855232	0.10678150534327872	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
SCP	0.7807665602668413	0.5622031612247472	0.07433941138230535	0.7654130577607469	0.8468570145311893	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
kNN	0.8088029617441382	0.63068911335578	0.23636363636363636	0.7895757575757576	0.8661279461279461	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
DR	1.6839895316533724	1.5115615920437189	1.1641881555874185	1.5943571164911827	1.7761395040525556	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
SIL	0.12383196354138122	0.08161828225689677	-0.05671184911527679	0.21201349436153769	0.0895532015244294	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
SCP	0.7781285159897415	0.5517535339736133	0.0451987296616591	0.764818945792246	0.8452429264669347	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
kNN	0.8184286301933361	0.6491941638608305	0.2727272727272727	0.8038787878787879	0.870976430976431	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
DR	1.66617887684012	1.6255114406703588	1.7023959802086297	1.3168250023993122	1.8573133394031345	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
SIL	0.0075287495007283515	0.08268416718543799	0.26648335154612346	-0.020345025354631528	0.0019141753648220154	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
SCP	0.7732580546335972	0.5564144693124393	0.06959828158101572	0.7637940513577829	0.8358510749985192	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
kNN	0.820979020979021	0.6429164370982553	0.24462809917355371	0.8101818181818182	0.8739393939393939	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
DR	1.5271542753715688	1.4903924325642262	1.5350813651530553	1.2626291842069333	1.6734667483326897	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
SIL	0.014524633121111552	0.04887225114844375	0.10052907618481102	0.06862853914062499	-0.022540861880104762	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
SCP	0.7295491956415516	0.5224840478508281	0.039664060792675246	0.757622060075179	0.7701660226846301	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
kNN	0.7716166186754422	0.5997175798387919	0.2115702479338843	0.7687272727272727	0.8188552188552188	gemeen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
DR	1.5103781271903884	1.419315909935141	1.6069098880585084	1.3036405686172872	1.6409782905930397	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	1.1257348924717285	tsne.30
SIL	-0.045697339505910706	0.0017695054548774111	0.24681694169462587	-0.04968310974900634	-0.061241522249938694	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-0.1288142878761712	tsne.30
SCP	0.7067354356879064	0.4145481318482133	0.11104016689916063	0.7141470023862453	0.8019954479595721	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	0.031009910147875172	tsne.30
kNN	0.7261730205278593	0.4812786780319248	0.2606060606060606	0.7566433566433567	0.7938157081014223	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	0.1140495867768595	tsne.30
DR	1.4178139706641095	1.4080128182077167	1.5143563800434539	1.1730795847705713	1.540842736499176	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	1.4037725715176659	tsne.30
SIL	-0.06509573465681298	-1.0965377474882621e-4	0.05426602826454163	-0.008205396872229532	-0.1150251607840135	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	0.06852591429270609	tsne.30
SCP	0.6981186717559171	0.4020759336648684	0.05562791263448768	0.7391867260688282	0.7783893452571123	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	0.035099750699045425	tsne.30
kNN	0.7216275659824046	0.4778940215628527	0.31666666666666665	0.7452214452214452	0.7918367346938775	gemeen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	0.05785123966942149	tsne.30
DR	1.4025142703489863	1.6065390713870937	2.144016872978494	1.0637882521938489	1.4979263980555155	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	1.7204247623205167	tsne.30
SIL	-0.15511795382751378	0.039200195493113626	0.34025383698802597	-0.09748072762210176	-0.2500228399796149	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	0.16405051258614517	tsne.30
SCP	0.7075442017516852	0.4227278538548853	0.10593334949586902	0.7355688381462842	0.7903080217610741	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	0.059101206016313995	tsne.30
kNN	0.7411290322580645	0.489283497887394	0.2772727272727273	0.7580419580419581	0.817687074829932	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	0.10413223140495867	tsne.30
DR	1.3933274546897978	1.420992563738673	1.7095702376260895	1.1920110269280975	1.481229609682056	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	1.3011593807184498	tsne.30
SIL	-0.06406558340204294	-0.030178762424538645	0.103745143832222	0.015520112651853829	-0.1154705281509807	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-0.1245097780312497	tsne.30
SCP	0.656940344251492	0.3870468560567364	0.07544626966682433	0.72168657528551	0.7166374771623355	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	0.03441710211227587	tsne.30
kNN	0.6901026392961876	0.43394716755106366	0.20757575757575758	0.7137529137529137	0.7648732220160791	gemeen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	0.049586776859504134	tsne.30
DR	1.970033751459134	1.9178262595919897	1.8536327121849605	1.8370044296301278	2.0628416369608806	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
SIL	0.1634742007415369	0.19354995782654272	0.2212350082896071	0.2620063148913502	0.09740855029867083	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
SCP	0.7665829258800264	0.5694174851010122	0.08562847880892972	0.8327185186822988	0.7899054578118081	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
kNN	0.824	0.666680205316569	0.29256198347107437	0.8487373737373738	0.8587412587412587	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
DR	1.9828499577785976	2.031733943528737	2.112260845009953	2.0593105122624897	1.9236304733137672	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
SIL	0.123650092228462	0.18715435802336844	0.24199907473446222	0.3402057621923761	-0.020741762856733008	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
SCP	0.7792805513358895	0.573826513429475	0.076546567000707	0.8320679965442868	0.8128649767434313	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
kNN	0.8246363636363636	0.6690259235713781	0.2975206611570248	0.8525252525252526	0.857031857031857	gemeen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
DR	1.7892406599929613	1.6464221350754906	1.4481407142898017	1.478736037737466	2.0123896531992043	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
SIL	0.05056008486081587	0.056795103847458686	0.040054842211345795	0.12393891564204826	0.006391553688982008	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
SCP	0.7744607982242888	0.5649614611845241	0.0499722033056204	0.8469391040114319	0.79797307623652	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
kNN	0.8262727272727273	0.6620794188976007	0.2644628099173554	0.8689393939393939	0.8528360528360528	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
DR	1.6337084641672295	1.6167089641358232	1.7078660823685954	1.3264299743812644	1.8158308356576096	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
SIL	-0.03269634065639058	0.03492378422581492	0.14610065698314978	0.0735743723183395	-0.11490367662404452	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
SCP	0.729760309688918	0.5391642694197238	0.05454983241842365	0.8336069864930343	0.7293359893477135	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
kNN	0.7899090909090909	0.6224158837795202	0.21652892561983472	0.8340909090909091	0.8166278166278166	gemeen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	NA	tsne.30
DR	1.9524047977878989	2.0425936431450262	2.241038508685893	1.9759850503471053	1.91075737040208	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
SIL	0.01483648239726525	0.1415348861706965	0.339597776244643	0.23809076187842812	-0.1530838796109816	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
SCP	0.7845622216653386	0.5856647696611847	0.10566102552358604	0.8323515802779553	0.8189817031820128	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
kNN	0.8160909090909091	0.65823149914059	0.27768595041322314	0.853030303030303	0.843978243978244	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	NA	tsne.30
DR	1.9458151633810612	1.9527164121786913	1.9367461924924143	2.0210073687625	1.9003956752811595	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
SIL	0.11987813788228152	0.1628613343026398	0.17217319689830188	0.33196315316778374	-0.015552347158166217	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
SCP	0.7839305663147712	0.5830844161735714	0.09882290117152236	0.8311397619952877	0.8192905853539041	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
kNN	0.8226363636363636	0.6819924183560547	0.343801652892562	0.8535353535353535	0.8486402486402487	gemeen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	NA	tsne.30
DR	1.75832655103035	1.634820563597749	1.5238086860639752	1.3473997087546337	2.0332532959746383	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
SIL	0.06265760314818866	0.05515995777593818	0.01588135490242052	0.11436002066799986	0.035238497757394155	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
SCP	0.7869115665550039	0.573592221177601	0.05667738430871544	0.8431278574580736	0.8209714217660138	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
kNN	0.8149090909090909	0.6500247227519955	0.2512396694214876	0.8565656565656565	0.8422688422688422	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	NA	tsne.30
DR	1.6870832455647222	1.6175382157978626	1.582849734518406	1.390159839403428	1.8796050734717535	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
SIL	0.021750038881927912	0.04954529012645802	0.07807231909340617	0.10588273853555843	-0.03531918724959054	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
SCP	0.7396080042601794	0.543763165312678	0.052839787708112096	0.8297389483478715	0.7487107598820503	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
kNN	0.7937272727272727	0.6238792352428716	0.21652892561983472	0.8285353535353536	0.8265734265734266	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	NA	tsne.30
DR	1.8302726793802016	1.7549196053459386	1.667569740565841	1.6302990145121483	1.9668900609598268	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	NA	tsne.30
SIL	0.08106397519373826	0.11056057443037653	0.15089728312669912	0.14521145313111194	0.035572987033318536	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	NA	tsne.30
SCP	0.761044268626044	0.5547859401508363	0.0630171879958373	0.7948180910944365	0.806522541362235	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	NA	tsne.30
kNN	0.7885521885521886	0.6296140668366867	0.24848484848484848	0.8195985832349468	0.8207587687902649	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	NA	tsne.30
DR	1.8790635972419318	1.9676793019658814	2.2426431271446035	1.7180823484622831	1.9423124302907577	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	NA	tsne.30
SIL	0.07449700182793871	0.15780830086038802	0.2802601131023513	0.2360739445240534	-0.04290915504524067	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	NA	tsne.30
SCP	0.7646789982826757	0.5666486940175286	0.09893107655620777	0.7869082997531307	0.8141067057432473	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	NA	tsne.30
kNN	0.7904040404040404	0.6383690675029258	0.27575757575757576	0.8155844155844156	0.8237652111667859	gemeen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	NA	tsne.30
DR	1.6938681198305499	1.7172918454215993	1.9965769977240482	1.1761264896793004	1.9791720488614495	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	NA	tsne.30
SIL	0.011260222473324923	0.0783275532522721	0.2381054301531484	5.693053453083906e-4	-0.0036920757416405	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	NA	tsne.30
SCP	0.7676583388771202	0.5617310588936936	0.07342436616974832	0.7952306026303645	0.8165382078809679	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	NA	tsne.30
kNN	0.8123737373737374	0.6651084420232595	0.3136363636363636	0.8373081463990555	0.8443808160343593	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	NA	tsne.30
DR	1.6827688912957588	1.6847971031652762	1.8566056970394467	1.2983992125309993	1.8993863999253826	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	NA	tsne.30
SIL	-0.03203728941015979	0.051856902910497826	0.22680487879989394	0.011899469190127635	-0.08313363925852811	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	NA	tsne.30
SCP	0.730816017543314	0.5346339207415011	0.058109595764539515	0.7831332100046801	0.7626589564552835	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	NA	tsne.30
kNN	0.760016835016835	0.5984632086278471	0.21212121212121213	0.78913813459268	0.7941302791696492	gemeen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	NA	tsne.30
DR	1.3032852967729833	1.2659519789860414	1.107208428441	1.5983045363691366	1.1850573856119986	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	1.17323756552203	tsne.30
SIL	-0.018342822288076682	-0.013224131393084364	-0.14615180722870175	0.2320628069374429	-0.13225222674501683	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0065552985360617915	tsne.30
SCP	0.6710413877833358	0.39745703503658913	0.03456067082526892	0.7864741439626187	0.7201946531361422	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	0.04859867222232683	tsne.30
kNN	0.7098155467720685	0.4521114868088127	0.16363636363636364	0.7880266075388026	0.7697699890470975	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	0.08701298701298701	tsne.30
DR	1.1045630553263988	1.1215676757303439	1.0253844578949647	1.186639130077094	1.0615799512101605	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	1.2126671637391568	tsne.30
SIL	-0.07287257834668406	-0.04290360310688308	-0.1417325603318275	0.018225598337148024	-0.1246682272146409	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	0.07656077678178805	tsne.30
SCP	0.6921097288101831	0.40498559457342675	0.036600067214813035	0.7822604585657331	0.7575617149541367	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	0.043520137559024105	tsne.30
kNN	0.705467720685112	0.43242717464727454	0.11168831168831168	0.7736141906873614	0.7755750273822563	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	0.06883116883116883	tsne.30
DR	1.2928322492288833	1.2353192062706062	1.0937832693210174	1.3615546040600561	1.2832770536837768	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	1.2026618980175745	tsne.30
SIL	-0.023541737450692688	-0.037398657601422934	-0.17316964591871228	0.12485450877951783	-0.08482435070867572	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.016455142557821566	tsne.30
SCP	0.6904977525540587	0.39856039991547054	0.04189883354557228	0.7338142714952041	0.7786751766314471	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	0.03985331798965866	tsne.30
kNN	0.7245718050065876	0.4625640668470524	0.1857142857142857	0.7751662971175166	0.7984665936473165	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	0.09090909090909091	tsne.30
DR	1.1087170750525066	1.091941751830106	0.9617937300683824	0.9962824844091314	1.165197142580164	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	1.244493650262746	tsne.30
SIL	-0.08439492661170256	-0.05562732982210675	-0.1539953381232985	-0.0934115293332588	-0.0909597715798048	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	0.11585731974793512	tsne.30
SCP	0.6606058173040906	0.38320782187833474	0.03258296563830681	0.7205926524638969	0.7359688630473505	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	0.043686806363784705	tsne.30
kNN	0.6838603425559947	0.42244057000889207	0.15584415584415584	0.7022172949002217	0.771960569550931	gemeen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	0.05974025974025974	tsne.30
DR	1.2539324529010019	1.2011468263259981	1.1733223511443645	1.2371419910774621	1.280541196356852	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	1.1135817667253136	tsne.30
SIL	-0.01418862647241039	-0.019444025612796685	-0.05783617520124422	0.08531773923453041	-0.056215448006243784	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.04904221847822915	tsne.30
SCP	0.7016283424418414	0.40955353783000625	0.043421397745001866	0.7753843703956204	0.775269765541879	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	0.04413861763752377	tsne.30
kNN	0.7163505559189012	0.449206129236617	0.1909090909090909	0.7711751662971175	0.7892857142857143	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	0.045454545454545456	tsne.30
DR	1.261743223942253	1.3221900062568857	1.5819139078640447	1.2512337978985575	1.244403101613369	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	1.211209217651571	tsne.30
SIL	-0.09131528688001453	-0.01873812819808658	0.18620556776734884	-0.12757507194715753	-0.10169616676067843	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.03188684185185921	tsne.30
SCP	0.6985443262337583	0.42655398896315394	0.12087252529804961	0.7803519535308111	0.7613270550061885	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	0.04366442201756661	tsne.30
kNN	0.7282537606278613	0.4787621423292155	0.24545454545454545	0.7729490022172949	0.7992424242424242	gemeen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	0.09740259740259741	tsne.30
DR	1.3177761187549557	1.2958305830517374	1.0444233744878848	1.4423531094462956	1.2707482916924175	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	1.4257975565803518	tsne.30
SIL	-0.04412521684595476	-0.005809217627068982	-0.15881111034352444	0.19502590447808152	-0.16365750389979938	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	0.10420583925696637	tsne.30
SCP	0.66945827140365	0.40036764772751987	0.04227010937855093	0.7786109962799792	0.7191121001976298	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	0.061477385053919496	tsne.30
kNN	0.7170699803793329	0.4813080720092915	0.24155844155844156	0.7824833702882483	0.7739177489177489	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	0.12727272727272726	tsne.30
DR	1.1998799454307751	1.2410741976308928	1.3355065851457804	1.2532956181790744	1.1613140761444705	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	1.2141805110542458	tsne.30
SIL	-0.048184774330289795	-0.007616961960444962	9.726565604163134e-4	0.10541397393567126	-0.1307595300107876	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.006094948327079811	tsne.30
SCP	0.6337207964155002	0.3757090056660054	0.0782803067598805	0.6725991461062243	0.7103762022791525	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	0.04158036751876419	tsne.30
kNN	0.6917593198168738	0.4635730123535001	0.3012987012987013	0.725720620842572	0.7597402597402597	gemeen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	0.06753246753246753	tsne.30
DR	1.2660601936542626	1.292861061823289	1.347816143268285	1.1804167059551987	1.2945003814573606	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	1.3487110166123117	tsne.30
SIL	-0.13053024136096486	-0.03274685548085042	0.047912855004171924	-0.09451747999812554	-0.18266667150543514	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	0.09828387457598708	tsne.30
SCP	0.6994182853357258	0.41593914082143085	0.050812650737971254	0.7995819349503763	0.7590479163818066	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	0.05431406121556922	tsne.30
kNN	0.7252964426877471	0.4704718144036393	0.16493506493506493	0.7953436807095343	0.787842278203724	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	0.13376623376623376	tsne.30
DR	1.4608471313359663	1.4270759013663792	1.239339911087727	1.7394195042931042	1.3486646807913052	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	1.38087950929338	tsne.30
SIL	-0.03164044571323594	0.03367947688829399	-0.05711029417060078	0.16313692386753195	-0.14284292464203785	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	0.17153420249828263	tsne.30
SCP	0.706841034921753	0.4185317360390903	0.05216335416902531	0.776419969122643	0.7819328323675989	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	0.06361078849709384	tsne.30
kNN	0.7239789196310935	0.47485469276535985	0.23766233766233766	0.7920177383592018	0.7853231106243155	gemeen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	0.08441558441558442	tsne.30
DR	1.4417517919634601	1.485481121860229	1.0992874358108042	1.4625588289918423	1.4163325749098479	gemeen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	1.9637456477284214	tsne.30
SIL	-0.07563913768153656	0.026948490929122566	-0.12428849264639809	0.09471341220509696	-0.18964493106632596	gemeen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	0.32701397522411735	tsne.30
SCP	0.7164991403772591	0.42782920802192237	0.03846641285489571	0.814453414366456	0.7790295718287951	gemeen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	0.07936743303754275	tsne.30
kNN	0.7561923583662714	0.4992284309871733	0.16753246753246753	0.8412416851441241	0.8128148959474261	gemeen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	0.17532467532467533	tsne.30
